BuildingType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,NumberOfPropertyUseTypes,PrimaryProperty,SecondLargest,ThirdLargest,NombreAnnees
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1999,1.0,4,44891,78051,78051.0,44891.0,0.0,94.0,5337334.0,171.64,2,HOTEL,PARKING,NOT CONCERNED,17
NONRESIDENTIAL,3,CENTRAL,1962,1.0,2,0,54984,54984.0,0.0,0.0,71.0,3375211.0,87.98,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,54
NONRESIDENTIAL,1,SOUTHWEST,1922,1.0,5,0,217603,296313.0,0.0,0.0,54.0,42792072.0,1727.11,2,HEALTH AND MEDICAL,PARKING,NOT CONCERNED,94
NONRESIDENTIAL,5,NORTHWEST,1970,1.0,2,0,93397,93397.0,0.0,0.0,1.0,16402563.0,609.1,1,HEALTH AND MEDICAL,NOT CONCERNED,NOT CONCERNED,46
NONRESIDENTIAL,7,LAKE UNION,2008,1.0,6,20732,63371,63371.0,20732.0,0.0,74.0,3706100.25,67.06,2,HOTEL,PARKING,NOT CONCERNED,8
SPS-DISTRICT K-12,1,SOUTHWEST,1948,1.0,2,0,53352,65568.0,0.0,0.0,,600813.0,4.19,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,68
NONRESIDENTIAL,3,EAST,1965,0.0,3,0,179014,179014.0,0.0,0.0,48.0,16701055.0,430.84,1,HEALTH AND MEDICAL,NOT CONCERNED,NOT CONCERNED,51
NONRESIDENTIAL,3,EAST,1908,1.0,7,0,76631,76631.0,0.0,0.0,71.0,7258758.5,262.75,1,HOTEL,NOT CONCERNED,NOT CONCERNED,108
NONRESIDENTIAL,7,LAKE UNION,1929,1.0,2,0,58320,72072.0,0.0,0.0,96.0,1049748.625,39.06,1,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,NOT CONCERNED,87
NONRESIDENTIAL,7,LAKE UNION,2010,1.0,5,0,316306,261826.0,150726.0,15139.0,96.0,13795954.0,138.85,4,OFFICE AND BUSINESS,PARKING,OTHER SERVICES AND FACILITIES,6
NONRESIDENTIAL,3,LAKE UNION,1990,1.0,7,44766,238097,235788.0,51537.0,0.0,37.0,19459304.0,526.85,2,HOTEL,PARKING,NOT CONCERNED,26
NONRESIDENTIAL,7,LAKE UNION,2010,1.0,12,0,571329,598801.0,310699.0,26203.0,91.0,39605888.0,617.52,3,OFFICE AND BUSINESS,PARKING,OTHER SERVICES AND FACILITIES,6
NONRESIDENTIAL COS,7,MAGNOLIA / QUEEN ANNE,1928,1.0,1,0,60696,108000.0,0.0,0.0,,875943.3125,6.11,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,88
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1986,0.0,2,2352,63888,45900.0,5181.0,4551.0,,4166306.25,29.04,5,OFFICE AND BUSINESS,OFFICE AND BUSINESS,STORAGE,30
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,2010,1.0,6,303707,616891,729584.0,185014.0,6000.0,93.0,36667044.0,674.09,3,OFFICE AND BUSINESS,PARKING,OTHER SERVICES AND FACILITIES,6
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1970,1.0,4,25930,50283,48546.0,21454.0,2406.0,68.0,3476212.5,48.76,3,OFFICE AND BUSINESS,PARKING,OTHER SERVICES AND FACILITIES,46
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,2002,1.0,6,36934,59976,59976.0,36934.0,0.0,56.0,5155568.5,152.14,2,HOTEL,PARKING,NOT CONCERNED,14
NONRESIDENTIAL,4,NORTHEAST,1962,2.0,4,0,50017,50017.0,0.0,0.0,53.0,5448975.0,191.2,2,HOTEL,ENTERTAINMENT AND LEISURE,NOT CONCERNED,54
SPS-DISTRICT K-12,1,DELRIDGE,1999,1.0,3,0,74468,75364.0,0.0,0.0,,1698176.0,11.84,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,17
NONRESIDENTIAL,3,EAST,1923,1.0,3,0,67743,67743.0,0.0,0.0,34.0,2646879.0,78.85,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,93
NONRESIDENTIAL,3,EAST,1908,1.0,6,0,194104,194104.0,0.0,0.0,100.0,6219841.5,243.23,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,108
NONRESIDENTIAL,3,SOUTHEAST,2003,1.0,3,35752,63681,63681.0,35752.0,0.0,63.0,4897760.0,34.14,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,13
SPS-DISTRICT K-12,2,SOUTHEAST,1991,1.0,2,0,58933,60725.0,0.0,0.0,,2347138.0,16.36,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,25
SPS-DISTRICT K-12,2,GREATER DUWAMISH,1957,1.0,1,0,130862,134446.0,0.0,0.0,61.0,6456026.0,238.48,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,59
SPS-DISTRICT K-12,2,SOUTHEAST,1989,1.0,3,0,59955,59955.0,0.0,0.0,93.0,1633399.375,20.48,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,27
SPS-DISTRICT K-12,7,MAGNOLIA / QUEEN ANNE,1964,1.0,2,0,93218,93218.0,0.0,0.0,86.0,2887392.0,84.75,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,52
NONRESIDENTIAL,4,NORTHEAST,1941,1.0,4,0,56521,49000.0,0.0,0.0,,6357632.0,44.32,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,75
NONRESIDENTIAL,4,NORTHEAST,1929,1.0,2,0,206934,119146.0,0.0,0.0,,4253577.5,133.58,2,OTHER SERVICES AND FACILITIES,PARKING,NOT CONCERNED,87
NONRESIDENTIAL,5,NORTHWEST,2001,1.0,4,0,51390,51390.0,0.0,0.0,89.0,3611538.0,127.29,2,HOTEL,PARKING,NOT CONCERNED,15
SPS-DISTRICT K-12,5,NORTHWEST,1963,1.0,2,0,131013,131909.0,0.0,0.0,88.0,3894584.5,124.92,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,53
SPS-DISTRICT K-12,5,NORTHWEST,1959,1.0,1,0,245587,245587.0,0.0,0.0,92.0,11765682.0,443.73,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,57
NONRESIDENTIAL,5,NORTHWEST,2002,1.0,3,0,69138,70609.0,0.0,0.0,78.0,3242458.0,89.02,1,HOTEL,NOT CONCERNED,NOT CONCERNED,14
SPS-DISTRICT K-12,6,LAKE UNION,1991,1.0,3,0,66588,66588.0,0.0,0.0,,2104286.0,14.67,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,25
NONRESIDENTIAL,7,DOWNTOWN,1904,1.0,5,0,190980,190980.0,19051.0,0.0,98.0,6505995.0,142.39,2,HOTEL,PARKING,NOT CONCERNED,112
NONRESIDENTIAL,6,BALLARD,1954,4.0,5,0,285333,302661.0,148865.0,0.0,14.0,68090728.0,1990.5,2,HEALTH AND MEDICAL,PARKING,NOT CONCERNED,62
SPS-DISTRICT K-12,6,BALLARD,1991,1.0,2,0,55513,59097.0,0.0,0.0,93.0,1513570.75,10.55,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,25
NONRESIDENTIAL COS,2,DOWNTOWN,2006,1.0,4,0,61156,42755.0,29219.0,0.0,,9363374.0,176.75,2,OTHER SERVICES AND FACILITIES,OFFICE AND BUSINESS,NOT CONCERNED,10
NONRESIDENTIAL,2,DOWNTOWN,1910,1.0,4,13820,59000,58000.0,0.0,0.0,,2010454.625,46.26,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,106
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1996,1.0,4,14200,148022,113702.0,32692.0,0.0,76.0,7946961.0,228.4,2,HOTEL,PARKING,NOT CONCERNED,20
SPS-DISTRICT K-12,2,SOUTHEAST,1990,1.0,4,0,289588,289588.0,0.0,0.0,90.0,8819852.0,170.84,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,26
NONRESIDENTIAL,3,EAST,1915,1.0,3,0,63330,64820.0,0.0,0.0,,3059758.0,74.33,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,101
CAMPUS,1,DELRIDGE,1970,27.0,2,0,441071,483000.0,0.0,0.0,,38301744.0,866.23,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,46
NONRESIDENTIAL,4,NORTHEAST,2002,1.0,2,0,96300,92300.0,4944.0,0.0,,16319835.0,222.02,2,OFFICE AND BUSINESS,OFFICE AND BUSINESS,NOT CONCERNED,14
NONRESIDENTIAL COS,2,GREATER DUWAMISH,1950,1.0,1,0,67356,68359.0,0.0,0.0,,7475577.5,204.08,4,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,66
SPS-DISTRICT K-12,3,CENTRAL,2008,1.0,3,0,254523,254523.0,0.0,0.0,60.0,13567774.0,359.09,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,8
SPS-DISTRICT K-12,2,SOUTHEAST,2001,1.0,3,0,78804,78804.0,0.0,0.0,92.0,2499140.0,56.82,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,15
SPS-DISTRICT K-12,3,CENTRAL,2002,1.0,3,0,66994,66994.0,0.0,0.0,79.0,2371304.5,41.74,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,14
SPS-DISTRICT K-12,2,GREATER DUWAMISH,2000,1.0,3,0,98357,98357.0,0.0,0.0,88.0,3456131.5,94.64,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,16
NONRESIDENTIAL,2,GREATER DUWAMISH,1958,1.0,1,0,54765,25765.0,25000.0,0.0,,4253369.5,61.21,2,OFFICE AND BUSINESS,OTHER SERVICES AND FACILITIES,NOT CONCERNED,58
NONRESIDENTIAL,2,GREATER DUWAMISH,2009,1.0,5,0,89821,46483.0,37938.0,4579.0,,1950092.5,100.46,3,OTHER SERVICES AND FACILITIES,OFFICE AND BUSINESS,FOOD AND BEVERAGE,7
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1980,1.0,2,0,52611,52611.0,0.0,0.0,,4116871.5,104.26,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,36
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,2001,1.0,4,37500,102100,135520.0,0.0,0.0,89.0,4448582.5,129.39,1,RESIDENTIAL AND HOUSING,NOT CONCERNED,NOT CONCERNED,15
SPS-DISTRICT K-12,5,NORTH,2011,1.0,2,0,236758,238550.0,0.0,0.0,96.0,8355988.5,222.78,2,EDUCATION,PARKING,NOT CONCERNED,5
SPS-DISTRICT K-12,6,NORTHWEST,2002,1.0,3,0,62526,62526.0,0.0,0.0,96.0,1986094.875,54.07,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,14
NONRESIDENTIAL,7,DOWNTOWN,2004,1.0,11,68432,230638,250000.0,0.0,0.0,,65336980.0,2055.82,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,12
NONRESIDENTIAL,2,GREATER DUWAMISH,2007,1.0,3,0,64015,30000.0,15000.0,9015.0,21.0,3242077.75,49.58,3,OFFICE AND BUSINESS,STORAGE,OTHER SERVICES AND FACILITIES,9
NONRESIDENTIAL,5,NORTH,1951,1.0,1,0,530039,505103.0,24936.0,0.0,98.0,27717034.0,723.47,2,RETAIL AND PERSONAL SERVICES,FOOD AND BEVERAGE,NOT CONCERNED,65
NONRESIDENTIAL,5,NORTH,1964,1.0,3,0,54224,47012.0,0.0,0.0,,7265178.0,231.53,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,52
NONRESIDENTIAL,5,NORTH,1965,1.0,4,0,124342,122000.0,0.0,0.0,76.0,8765978.0,66.3,1,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,NOT CONCERNED,51
NONRESIDENTIAL,5,NORTHWEST,1996,1.0,3,0,55442,28636.0,15385.0,8644.0,72.0,3191228.25,83.7,3,OTHER SERVICES AND FACILITIES,PARKING,HEALTH AND MEDICAL,20
SPS-DISTRICT K-12,6,BALLARD,1999,1.0,2,0,242795,242795.0,0.0,0.0,80.0,9157150.0,123.71,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,17
NONRESIDENTIAL,3,EAST,1910,1.0,5,0,84870,85521.0,0.0,0.0,,1381590.125,51.11,1,STORAGE,NOT CONCERNED,NOT CONCERNED,106
CAMPUS,5,NORTHWEST,1970,11.0,2,111625,582447,667335.0,0.0,0.0,,35891484.0,362.82,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,46
SPS-DISTRICT K-12,2,SOUTHEAST,1952,1.0,2,0,173185,173185.0,0.0,0.0,79.0,6127771.5,242.36,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,64
SPS-DISTRICT K-12,1,DELRIDGE,1963,1.0,1,0,145341,139069.0,0.0,0.0,75.0,5499097.0,206.01,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,53
NONRESIDENTIAL,2,GREATER DUWAMISH,1904,1.0,4,0,114297,114297.0,0.0,0.0,61.0,2100097.75,69.44,1,STORAGE,NOT CONCERNED,NOT CONCERNED,112
SPS-DISTRICT K-12,2,SOUTHEAST,1960,1.0,2,0,184125,184125.0,0.0,0.0,86.0,8800292.0,328.97,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,56
SPS-DISTRICT K-12,6,BALLARD,1959,1.0,1,0,160270,160270.0,0.0,0.0,,4318917.0,229.38,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,57
NONRESIDENTIAL,2,GREATER DUWAMISH,1937,1.0,1,0,234144,234144.0,0.0,0.0,87.0,6744317.0,297.43,1,STORAGE,NOT CONCERNED,NOT CONCERNED,79
NONRESIDENTIAL,1,DELRIDGE,1966,1.0,1,0,64984,65425.0,0.0,0.0,72.0,2944296.25,35.78,1,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,NOT CONCERNED,50
NONRESIDENTIAL,1,DELRIDGE,1965,1.0,1,0,67745,67782.0,0.0,0.0,37.0,9230223.0,369.14,1,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,NOT CONCERNED,51
SPS-DISTRICT K-12,1,DELRIDGE,2010,1.0,2,0,367884,367884.0,0.0,0.0,97.0,12265516.0,272.85,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,6
SPS-DISTRICT K-12,1,DELRIDGE,1958,1.0,1,0,46797,46797.0,0.0,0.0,86.0,2075891.0,73.47,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,58
SPS-DISTRICT K-12,3,CENTRAL,1963,1.0,3,0,136188,136188.0,0.0,0.0,,3217877.0,170.9,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,53
NONRESIDENTIAL,6,BALLARD,1973,1.0,3,0,56000,56000.0,0.0,0.0,,1851260.5,59.34,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,43
SPS-DISTRICT K-12,2,SOUTHEAST,2004,1.0,2,0,67371,67371.0,0.0,0.0,92.0,2128459.0,46.36,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,12
NONRESIDENTIAL,1,SOUTHWEST,1969,1.0,2,0,52088,52088.0,0.0,0.0,,1377519.5,48.99,1,STORAGE,NOT CONCERNED,NOT CONCERNED,47
SPS-DISTRICT K-12,4,LAKE UNION,2010,1.0,3,0,127776,127776.0,0.0,0.0,75.0,4748137.0,80.08,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,6
NONRESIDENTIAL,3,LAKE UNION,1998,1.0,5,30000,93920,123920.0,30000.0,0.0,79.0,9373179.0,309.6,3,HOTEL,PARKING,ENTERTAINMENT AND LEISURE,18
NONRESIDENTIAL COS,3,LAKE UNION,1900,1.0,1,0,50000,43000.0,0.0,0.0,,7548807.0,225.69,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,116
NONRESIDENTIAL COS,7,MAGNOLIA / QUEEN ANNE,1926,1.0,2,0,50292,42345.0,5000.0,4730.0,,430473.6875,3.0,4,STORAGE,RESIDENTIAL AND HOUSING,OFFICE AND BUSINESS,90
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1998,1.0,7,54341,153315,141591.0,0.0,0.0,76.0,11171988.0,338.16,1,HOTEL,NOT CONCERNED,NOT CONCERNED,18
SPS-DISTRICT K-12,6,BALLARD,1999,1.0,2,0,67235,67235.0,0.0,0.0,89.0,2284133.75,49.12,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,17
NONRESIDENTIAL COS,5,NORTHWEST,1957,1.0,2,0,91130,57968.0,32881.0,11850.0,,9472358.0,175.77,5,OFFICE AND BUSINESS,STORAGE,PARKING,59
SPS-DISTRICT K-12,1,SOUTHWEST,1991,1.0,3,0,58118,59014.0,0.0,0.0,97.0,1407277.25,21.29,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,25
NONRESIDENTIAL,5,NORTHWEST,1968,1.0,4,0,64893,64893.0,0.0,0.0,70.0,6197825.0,208.26,1,HOTEL,NOT CONCERNED,NOT CONCERNED,48
SPS-DISTRICT K-12,2,GREATER DUWAMISH,1925,1.0,1,0,70762,70762.0,0.0,0.0,87.0,3606416.0,168.88,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,91
NONRESIDENTIAL,7,DOWNTOWN,1900,1.0,3,0,44558,34416.0,7672.0,2470.0,78.0,1677002.25,28.27,3,OFFICE AND BUSINESS,STORAGE,FOOD AND BEVERAGE,116
NONRESIDENTIAL,2,GREATER DUWAMISH,1999,1.0,6,327680,1258280,1585960.0,0.0,0.0,,59757440.0,892.63,2,OTHER SERVICES AND FACILITIES,PARKING,NOT CONCERNED,17
NONRESIDENTIAL COS,2,GREATER DUWAMISH,1924,1.0,2,0,179161,117476.0,37321.0,25543.0,,9436408.0,96.43,4,STORAGE,OFFICE AND BUSINESS,OTHER SERVICES AND FACILITIES,92
NONRESIDENTIAL COS,2,GREATER DUWAMISH,1965,1.0,2,0,58640,40831.0,16735.0,11533.0,,3928695.25,27.39,4,STORAGE,OTHER SERVICES AND FACILITIES,OFFICE AND BUSINESS,51
NONRESIDENTIAL,2,GREATER DUWAMISH,1999,1.0,3,0,1172127,1172127.0,0.0,0.0,,58761304.0,1246.55,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,17
NONRESIDENTIAL,2,GREATER DUWAMISH,2005,1.0,9,14567,153882,135006.0,20600.0,9216.0,64.0,12726789.0,388.37,3,HOTEL,PARKING,FOOD AND BEVERAGE,11
NONRESIDENTIAL,1,GREATER DUWAMISH,1916,0.0,4,0,79600,79600.0,0.0,0.0,34.0,2411402.25,16.81,1,STORAGE,NOT CONCERNED,NOT CONCERNED,100
SPS-DISTRICT K-12,4,LAKE UNION,1997,1.0,4,0,241066,241066.0,0.0,0.0,79.0,7791957.0,270.97,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,19
CAMPUS,1,GREATER DUWAMISH,1980,14.0,2,31874,302494,240984.0,72963.0,16766.0,,53466684.0,748.55,4,OFFICE AND BUSINESS,HEALTH AND MEDICAL,OTHER SERVICES AND FACILITIES,36
NONRESIDENTIAL,5,NORTH,2008,1.0,6,335109,84739,335109.0,65000.0,13567.0,,9134963.0,162.41,5,OTHER SERVICES AND FACILITIES,ENTERTAINMENT AND LEISURE,HEALTH AND MEDICAL,8
